Year,Matches,Innings,N.O,100,Fifties,H.S  ,Fours,Sixes,Runs,Average,Strike Rate,Catches Taken,Stumpings
2008,13,8,2,0,1,56,13,4,145,24.17,135.51,6,2
2009,15,13,5,0,1,52,20,9,288,36,132.72,12,5
2010,14,14,1,0,1,69,26,6,278,21.38,117.3,6,6
2011,14,13,2,0,1,69,32,7,282,25.64,128.18,7,0
2012,17,14,1,0,0,44,30,2,238,18.31,111.74,5,2
2013,19,19,1,0,2,86,54,14,510,28.33,124.09,12,2
2014,14,14,0,0,3,69,28,11,325,23.21,125.97,7,2
2015,16,11,0,0,0,28,15,4,141,12.82,120.51,14,4
2016,16,15,2,0,3,53,38,3,335,25.77,125.94,11,3
2017,14,13,3,0,2,65,30,11,361,36.1,139.38,8,0
2018,16,16,6,0,2,52,49,16,498,49.8,147.77,14,4
2019,14,13,5,0,2,97,22,14,253,31.63,146.24,7,0
2020,14,14,2,0,1,58,20,4,169,14.08,126.12,9,0
2021,17,15,5,0,0,40,22,7,223,22.3,131.18,5,2
2022,16,16,10,0,1,66,27,22,330,55,183.33,10,2
