Ground,Matches,Innings,N.O,100,50,H.S  ,Runs,Average,Strike Rate,% Team Runs,Catches Taken,Stumpings
Arun Jaitley Stadium,28,24,2,0,6,69,636,28.91,135.9,13.94,12,7
Barabati Stadium,2,2,1,0,0,46,69,69,130.19,22.77,1,0
Brabourne Stadium,4,4,0,0,0,11,24,6,77.42,4.47,2,0
Buffalo Park,1,1,1,0,0,5,5,,166.67,4.24,2,0
Dr DY Patil Sports Academy,6,6,3,0,0,34,121,40.33,165.75,12.66,3,0
Dr YS Rajasekhara Reddy Cricket Stadium,1,1,0,0,0,7,7,7,116.67,4.93,0,0
Dubai International Cricket Stadium,8,8,2,0,1,56,131,21.83,133.67,9.83,6,1
Eden Gardens,26,25,8,0,3,97,621,36.53,141.14,13.79,15,3
Green Park,4,4,0,0,0,40,55,13.75,134.15,8.5,2,0
Himachal Pradesh Cricket Association Stadium,4,3,0,0,0,27,38,12.67,105.56,5.84,2,0
Holkar Cricket Stadium,2,2,0,0,2,69,119,59.5,212.5,27.93,3,0
JSCA International Stadium Complex,1,1,0,0,0,28,28,28,107.69,20.14,1,0
Kingsmead,3,2,1,0,0,44,62,62,158.97,11.95,2,0
M Chinnaswamy Stadium,19,16,0,0,1,60,268,16.75,128.85,9.12,9,1
MA Chidambaram Stadium,10,8,2,0,0,37,150,25,113.64,10.16,5,0
Maharashtra Cricket Association Stadium,8,8,3,0,0,33,144,28.8,121.01,11.87,4,0
Mangaung Oval,2,2,1,0,0,32,55,55,137.5,20.37,3,2
Narendra Modi Stadium,5,4,1,0,0,14,35,11.67,112.9,4.93,4,2
Newlands,1,0,0,0,0,0,0,,,,0,0
Punjab Cricket Association IS Bindra Stadium,12,12,4,0,0,41,262,32.75,141.62,13.91,8,3
Rajiv Gandhi International Stadium,8,7,2,0,0,30,67,13.4,95.71,6.01,7,0
Saurashtra Cricket Association Stadium,10,9,2,0,3,58,224,32,123.76,13.8,5,2
Sawai Mansingh Stadium,5,3,1,0,0,42,85,42.5,121.43,11.9,2,1
Sharjah Cricket Stadium,9,9,1,0,0,14,45,5.63,80.36,3.41,1,0
Sheikh Zayed Stadium,12,10,1,0,1,58,187,20.78,132.62,10.88,6,0
St George's Park,1,1,0,0,0,12,12,12,133.33,8,0,0
SuperSport Park,4,4,1,0,0,41,54,18,122.73,8.82,3,2
Wanderers Stadium,3,3,1,0,1,52,100,50,121.95,24.75,2,1
Wankhede Stadium,30,29,7,0,2,86,772,35.09,137.61,16.1,23,9
