Teams,Matches,Innings,N.O,H.S,50,HS ,Runs,Average,Strike Rate,% Team Runs,Fielding Catches,Fielding Catches,Stumpings
Chennai Super Kings,30,28,5,52,2,52,647,28.13,135.07,13.55,0,11,1
Deccan Chargers,11,9,2,46,0,46,164,23.43,135.54,10.04,1,6,3
Delhi Capitals,22,20,1,86,5,86,531,27.95,141.98,14.88,3,13,2
Gujarat Titans,2,2,1,2,0,2,4,4,80,1.18,0,1,0
Kochi Tuskers Kerala,1,1,0,69,1,69,69,69,209.09,38.12,1,0,0
Kolkata Knight Riders,18,15,3,56,2,56,366,30.5,133.58,13.17,0,9,3
Lucknow Super Giants,2,2,2,37,0,37,50,,161.29,12.89,0,2,0
Mumbai Indians,25,23,8,56,1,56,345,23,127.78,8.83,1,19,3
Pune Warriors,6,6,1,41,0,41,138,27.6,97.18,18.38,0,0,1
Punjab Kings,28,26,7,69,4,69,623,32.79,143.88,14.19,0,19,4
Rajasthan Royals,30,26,7,97,3,97,614,32.32,135.24,13.09,0,24,11
Rising Pune Supergiant,4,3,0,33,0,33,65,21.67,127.45,9.38,0,0,1
Royal Challengers Bangalore,28,25,3,60,2,60,431,19.59,115.24,9.67,2,11,1
Sunrisers Hyderabad,22,22,5,39,0,39,329,19.35,127.52,10.02,0,11,4
