Ground,Matches,Innings,N.O,100,50,H.S,Runs,Average,Strike Rate,Catches Taken,Stumpings
Arun Jaitley Stadium,11,8,2,0,0,44,181,30.17,111.73,3,1
Barabati Stadium,1,1,0,0,0,23,23,23,115,0,0
Brabourne Stadium,5,3,1,0,0,26,65,32.5,104.84,2,0
Buffalo Park,2,2,2,0,1,58,80,,142.86,0,0
Dr DY Patil Sports Academy,8,7,4,0,0,30,133,44.33,146.15,5,1
Dr YS Rajasekhara Reddy Cricket Stadium,5,4,1,0,1,64,110,36.67,157.14,3,3
Dubai International Cricket Stadium,14,12,4,0,0,47,183,22.88,111.59,8,1
Eden Gardens,13,11,5,0,2,66,278,46.33,134.3,3,1
Himachal Pradesh Cricket Association Stadium,2,2,1,0,1,54,60,60,133.33,3,0
Holkar Cricket Stadium,1,1,0,0,0,5,5,5,45.45,0,0
JSCA International Stadium Complex,5,5,3,0,1,57,138,69,126.61,1,1
Kingsmead,4,4,0,0,0,22,47,11.75,92.16,3,0
M Chinnaswamy Stadium,11,10,5,0,5,84,463,92.6,180.86,6,2
MA Chidambaram Stadium,54,48,17,0,7,75,1363,43.97,143.17,33,15
Maharashtra Cricket Association Stadium,22,20,10,0,2,61,502,50.2,140.62,16,2
Narendra Modi Stadium,2,2,1,0,0,31,52,52,92.86,0,0
Nehru Stadium (Kochi),1,1,1,0,0,14,14,,107.69,0,0
Newlands,1,1,0,0,0,36,36,36,138.46,1,0
Punjab Cricket Association IS Bindra Stadium,7,6,3,0,1,79,160,53.33,164.95,6,1
Rajiv Gandhi International Stadium,8,8,1,0,0,37,134,19.14,131.37,7,1
Saurashtra Cricket Association Stadium,2,2,1,0,0,22,27,27,150,0,2
Sawai Mansingh Stadium,6,6,2,0,1,58,145,36.25,130.63,6,0
Shaheed Veer Narayan Sing International Stadium,1,1,0,0,0,27,27,27,112.5,0,0
Sharjah Cricket Stadium,6,6,4,0,0,29,86,43,119.44,4,0
Sheikh Zayed Stadium,8,6,1,0,0,32,98,19.6,136.11,13,0
St George's Park,2,2,1,0,0,23,39,39,108.33,0,1
SuperSport Park,2,2,2,0,1,56,96,,174.55,0,0
Vidarbha Cricket Association Stadium,1,1,0,0,0,7,7,7,53.85,1,1
Wanderers Stadium,2,2,0,0,0,28,34,17,91.89,0,1
Wankhede Stadium,26,22,7,0,1,50,392,26.13,116.32,12,2
Overall (31),234,206,79,0,24,84,4978,39.2,135.2,136,38
